title,description,status,due_date,start_date,priority,progress,completed_date,category,hours,assigned_to,created_by,created_at,updated_at,tags,location,project,phase,parent_task
Perform Field Tests,Conduct field tests to evaluate the robot's performance.,open,2024-05-25,2024-05-16,high,0,,,12,,admin,2024-05-16,2024-05-16,testing,field,GUIDE,Testing and Calibration,
Analyze Field Test Data,Analyze data from field tests to identify performance issues and areas for improvement.,open,2024-05-30,2024-05-26,high,0,,,8,,admin,2024-05-26,2024-05-26,analysis,office,GUIDE,Testing and Calibration,
Implement Improvements,Make necessary improvements based on field test data.,open,2024-05-31,2024-05-27,high,0,,,10,,admin,2024-05-27,2024-05-27,improvement,lab,GUIDE,Testing and Calibration,
Document Project,Document the entire project including design decisions, test results, and lessons learned.,open,2024-05-30,2024-05-16,medium,0,,,10,,admin,2024-05-16,2024-05-16,documentation,office,GUIDE,Documentation and Final Review,
Create User Manual,Develop a detailed user manual for GUIDE, covering setup, operation, and troubleshooting.,open,2024-05-25,2024-05-17,medium,0,,,8,,admin,2024-05-17,2024-05-17,documentation,office,GUIDE,Documentation and Final Review,
Prepare Final Presentation,Prepare a presentation summarizing the project, its outcomes, and future work.,open,2024-05-30,2024-05-26,medium,0,,,6,,admin,2024-05-26,2024-05-26,presentation,office,GUIDE,Documentation and Final Review,
Conduct Final Review,Review the project and prepare for the final presentation.,open,2024-05-31,2024-05-26,medium,0,,,5,,admin,2024-05-26,2024-05-26,review,office,GUIDE,Documentation and Final Review,


title,description,status,due_date,start_date,priority,progress,completed_date,category,hours,assigned_to,created_by,created_at,updated_at,tags,location,project,phase,parent_task
Conduct Market Research,Research existing quadrupedal robots and identify unique features and improvements.,open,2023-10-10,2023-10-01,high,0,,,8,,admin,2023-10-01,2023-10-01,research,office,GUIDE,Initial Planning and Research,
Define Project Requirements,Outline the technical and functional requirements for GUIDE.,open,2023-10-15,2023-10-05,high,0,,,6,,admin,2023-10-01,2023-10-01,planning,office,GUIDE,Initial Planning and Research,
