title,description,status,due_date,priority,category,hours,created_at,updated_at,assigned_to,created_by,location,project,phase,parent_task
Create Initial Design,Create the initial design sketches and blueprints for the shed,open,2024-08-20,high,Design,10,2024-08-15,2024-08-15,Michael,Michael,Office - Pulaski,Building a 12 by 16 Shed,Planning Phase,
Finalize Design,Finalize the design and create detailed CAD models,open,2024-08-31,high,Design,15,2024-08-21,2024-08-21,Michael,Michael,Office - Pulaski,Building a 12 by 16 Shed,Planning Phase,
Obtain Permits,Obtain necessary permits for construction,open,2024-08-31,high,Legal,5,2024-08-15,2024-08-15,Michael,Michael,Office - Pulaski,Building a 12 by 16 Shed,Planning Phase,
Excavate Site,Excavate the site for the foundation,open,2024-09-05,high,Construction,20,2024-09-01,2024-09-01,Michael,Michael,Construction Site,Building a 12 by 16 Shed,Foundation Phase,
Pour Foundation,Pour the concrete foundation,open,2024-09-15,high,Construction,30,2024-09-06,2024-09-06,Michael,Michael,Construction Site,Building a 12 by 16 Shed,Foundation Phase,
Frame Walls,Frame the walls of the shed,open,2024-09-30,high,Construction,40,2024-09-16,2024-09-16,Michael,Michael,Construction Site,Building a 12 by 16 Shed,Framing Phase,
Install Roof,Install the roof on the shed,open,2024-10-15,high,Construction,20,2024-10-01,2024-10-01,Michael,Michael,Construction Site,Building a 12 by 16 Shed,Roofing Phase,
Paint Exterior,Paint the exterior of the shed,open,2024-10-30,medium,Finishing,10,2024-10-16,2024-10-16,Michael,Michael,Construction Site,Building a 12 by 16 Shed,Finishing Phase,
Install Doors and Windows,Install doors and windows on the shed,open,2024-10-30,medium,Finishing,15,2024-10-16,2024-10-16,Michael,Michael,Construction Site,Building a 12 by 16 Shed,Finishing Phase,
Final Inspection,Conduct final inspection and obtain approval,open,2024-10-31,high,Legal,5,2024-10-30,2024-10-30,Michael,Michael,Construction Site,Building a 12 by 16 Shed,Finishing Phase,
Create Initial Design,Create the initial design sketches and blueprints for the basement renovation,open,2024-11-05,high,Design,10,2024-11-01,2024-11-01,Michael,Michael,Office - Pulaski,Basement Renovation,Planning Phase,
Order Materials,Order the necessary materials for the basement renovation,open,2024-11-10,high,Procurement,2,2024-11-01,2024-11-01,Michael,Michael,Office - Pulaski,Basement Renovation,Planning Phase,
Apply Waterproofing,Apply waterproofing solutions to the basement,open,2024-12-15,high,Construction,20,2024-11-16,2024-11-16,Michael,Michael,98 Pulaski St,Basement Renovation,Waterproofing Phase,
Install Sump Pump,Install a new sump pump and dehumidifier system,open,2024-12-20,high,Construction,10,2024-12-16,2024-12-16,Michael,Michael,98 Pulaski St,Basement Renovation,Waterproofing Phase,
